Name RA DEC Dist Dist_err mag_g mag_i Scale seeing v_dis v_dis_err morph Mag_i mass
NGC4045 180.68 1.98 32.66 7.52 10.79 12.07 0.16 1.02 nan nan SAB(r)a -21.6 0.03
NGC5311 207.23 39.99 48.03 0.69 10.94 12.31 0.23 0.87 nan nan S0/a -22.02 0.04
NGC4168 183.07 13.21 30.9 6.59 10.31 11.41 0.15 1.12 182.0 18.0 E2 -22.38 0.1
NGC4235 184.29 7.19 22.49 nan 10.73 12.03 0.11 0.8 134.1 12.1 SA(s)a:edge-on -21.94 0.04
NGC4224 184.14 7.46 62.81 17.73 11.06 12.43 0.3 0.99 nan nan SA(s)a:edge-on -21.85 0.03
NGC5448 210.71 49.17 34.36 9.7 10.81 12.05 0.17 0.85 124.5 8.1 (R)SAB(r)a -21.74 0.04
NGC2894 142.38 7.72 57.81 13.31 11.7 13.32 0.28 0.87 155.0 22.0 Sa -20.98 0.01
NGC3189 154.52 21.83 24.25 0.44 9.78 11.08 0.12 0.85 nan nan SAB(rs)0/a -22.02 0.05
NGC3414 162.82 27.98 25.24 4.14 10.07 11.28 0.12 0.91 236.8 7.5 S0pec -21.89 0.05
NGC3607 169.23 18.05 22.8 1.86 9.48 10.76 0.11 1.29 224.9 8.8 SA0^0(s): -21.82 0.04
NGC3675 171.54 43.59 18.97 4.37 9.32 10.63 0.09 1.12 108.0 4.0 SA(s)b -21.69 0.03
NGC3718 173.15 53.07 21.16 0.31 9.99 11.63 0.1 1.17 158.1 9.6 SB(s)apec -21.39 0.01
NGC3976 178.99 6.75 35.16 8.1 10.95 12.19 0.17 0.84 189.5 8.7 SAB(s)b -21.87 0.05
NGC4321 185.73 15.82 14.92 0.47 9.37 10.34 0.07 0.68 92.0 4.0 SAB(s)bc -22.64 0.17
NGC4378 186.33 4.93 49.2 nan 10.71 11.96 0.24 1.07 192.0 8.0 (R)SA(s)a -22.19 0.06
NGC4429 186.86 11.11 13.0 2.99 9.13 10.4 0.06 1.09 176.6 9.7 SA0^+(r) -21.99 0.05
NGC4459 187.25 13.98 16.01 0.55 9.4 10.65 0.08 0.86 170.0 12.0 SA0^+(r) -22.19 0.06
NGC4461 187.26 13.18 12.02 2.77 10.62 11.88 0.06 0.88 140.7 9.6 SB0^+(s): -21.77 0.04
NGC4596 189.98 10.18 14.84 0.87 9.96 11.21 0.07 1.02 141.0 3.0 SB0^+(r) -22.36 0.07
NGC4608 190.31 10.16 20.23 4.66 10.34 11.49 0.1 1.06 133.7 11.2 SB0^0(r) -21.97 0.06
NGC4725 192.61 25.5 12.53 0.39 9.58 10.83 0.06 0.82 130.8 9.1 SAB(r)abpec -22.02 0.05
NGC4826 194.18 21.68 4.41 0.05 7.84 8.97 0.02 0.9 96.0 3.0 (R)SA(rs)ab -22.09 0.07
NGC4866 194.86 14.17 29.65 6.0 10.28 11.54 0.14 0.92 209.5 8.1 SA0^+(r):edge-on -22.15 0.06
NGC5198 202.55 46.67 45.03 0.34 11.1 12.3 0.22 1.08 187.0 10.0 E1-2 -21.81 0.05
NGC5326 207.71 39.57 45.44 0.38 10.97 12.23 0.22 1.05 164.4 6.1 SAa: -21.89 0.05
NGC5363 209.03 5.25 22.59 0.43 9.24 10.45 0.11 1.23 199.0 15.0 S0-a -22.2 0.07
NGC5377 209.07 47.24 31.0 4.0 10.26 11.42 0.15 0.95 169.7 8.3 (R)SB(s)a -22.09 0.07
NGC2962 145.22 5.17 33.22 0.4 10.7 12.04 0.16 1.27 182.0 6.0 (R)SAB0^+(rs) -21.8 0.03
NGC3169 153.56 3.47 16.44 0.62 9.88 11.38 0.08 1.17 188.6 8.7 SA(s)apec -21.77 0.02
NGC3245 156.83 28.51 20.89 2.02 10.0 11.21 0.1 1.21 209.9 8.4 SA0^0(r):? -21.92 0.05
NGC3379 161.96 12.58 11.75 0.55 8.87 10.07 0.06 1.21 202.0 8.0 E1 -22.31 0.08
NGC3583 168.55 48.32 38.29 0.32 10.73 11.88 0.19 0.96 131.7 10.1 SB(s)b -21.98 0.06
NGC3658 170.99 38.56 37.31 0.38 10.75 12.0 0.18 0.92 126.2 6.3 SA0^0(r): -21.86 0.05
NGC4477 187.51 13.64 15.0 0.32 9.5 10.73 0.07 1.07 176.8 7.6 SB0(s):? -22.27 0.07
NGC4494 187.85 25.77 17.06 0.89 9.29 10.43 0.08 0.78 148.0 8.0 E1-2 -22.47 0.1
NGC4570 189.22 7.25 17.12 0.57 9.92 11.1 0.08 0.92 87.9 8.5 S0edge-on -22.28 0.08
NGC4578 189.38 9.56 16.29 0.46 10.42 11.57 0.08 1.02 112.4 6.7 SA0^0(r): -22.28 0.08
NGC4754 193.07 11.31 16.06 0.55 9.77 10.98 0.08 1.08 173.5 12.3 SB0^-(r): -22.01 0.06
NGC4795 193.76 8.07 48.12 0.46 11.16 12.39 0.23 1.21 nan nan """(R\')SB(r)apec:""" -21.89 0.05
NGC5473 211.18 54.89 37.47 0.32 10.89 12.15 0.18 0.86 212.8 13.2 SAB0^-(s): -21.69 0.04
NGC4643 190.83 1.98 29.31 0.74 9.62 10.82 0.14 0.89 163.0 4.0 SB(rs)0/a -22.06 0.06
