name vdis vdis_err Dist mag_g mag_i total_mag sph_mag sph_Re Into_mass Taylor_mass
IC02955 195.0 9.0 103.72058823529412 12.350119142366932 11.149517981588101 12.8673127816 13.9084969057 3.21054203424 62219042496.477615 27590018554.261402
NGC2862 nan nan 65.23529411764706 12.935699567042695 11.660107713415861 11.8166213145 14.0574321656 2.29239214648 25436090360.465866 10737586633.302637
NGC2872 275.0 27.0 51.911764705882355 12.235568105650223 10.972336657085027 10.96448312512928 10.9855405818282 20.491863543853988 265215150387.96323 112869698936.15451
NGC2918 258.2 12.5 105.26470588235294 12.864329806656476 11.564995594785692 12.1364111616 13.1272691544 3.93244844364 164627392533.9942 68421383145.241806
NGC3209 303.4 1.4 98.36764705882354 12.467345747630066 11.234523308323432 11.6127969885 12.8619629085 3.52544479234 157851788096.29184 68532268955.36329
NGC3245 209.9 8.4 20.893 11.211341899640942 10.00140617517739 10.198001906752962 11.984286147995542 2.912714070823714 15173083154.258207 6687166805.907632
NGC3379 202.0 8.0 11.749 10.070711496031539 8.866263636802303 8.734203533717274 9.658361647412516 6.808134472729903 40368098231.12644 17855443840.136612
NGC3414 236.8 7.5 25.235 11.276787363046225 10.074545833179457 10.228192334 11.4073673101 6.95797876576 37005612855.26185 16391879959.992954
NGC3607 224.9 8.8 22.803 10.760139939398435 9.48023886163448 9.14692599351 9.91572808939 20.6584362026 142362399819.38797 59927131932.0355
NGC3615 261.2 12.0 105.55882352941177 12.852297177910827 11.594860700970118 11.545942155 11.5485410301 21.3485797118 644388231580.8822 275282246892.72235
NGC3665 215.5 17.3 37.73529411764706 11.043022750268793 9.808912999519183 9.922724426462523 10.942985093102255 15.286253914215358 136426753943.7756 59180450517.342995
NGC3801 230.7 19.1 56.25 12.46813096032122 10.947558304218356 11.471679217158266 13.160542883049615 6.781846517136832 75299478184.65642 27066291800.66717
NGC3805 291.0 12.0 105.33823529411765 12.940329648573151 11.629945471298008 11.148982305245973 11.31181032858268 60.21502171377601 899862927379.5046 371293092358.60077
NGC3812 188.0 30.0 60.5735294117647 12.360676987302588 11.127911968485357 11.597229442229978 11.716551570635094 14.300391258350713 171877359758.52588 74624364106.63014
NGC3842 309.0 21.0 100.83823529411765 12.602417026084353 11.362688161930448 11.1543323922 13.1902980888 3.65529782989 124527184549.00969 53819721104.526024
NGC3872 243.0 24.0 54.205882352941174 11.850005639825941 10.637131032687833 10.6948942786 12.2965103502 3.1733185872 77120561745.70511 33923520916.14451
NGC3937 308.0 18.5 106.08823529411765 12.25443136582999 11.068846387034814 11.7318577173 12.9163023763 3.87934799649 156897023319.0664 70262400807.48389
NGC3940 208.0 19.5 102.45588235294117 12.914938891002873 11.63718766471039 12.1337148884 12.9461676901 7.70989732485 175465475449.23138 73966075764.25902
NGC4015 nan nan 72.22058823529412 13.15275725681893 11.821509915318583 12.0905206699 13.5018683597 2.85929299159 59000179149.86457 24013078357.351173
NGC4073 276.9 5.5 95.26470588235294 12.60157749257721 11.339876201939628 10.327344881074731 10.32795836536885 99.5810269093041 1631009486559.5405 694818893456.8513
NGC4168 182.0 18.0 30.903 11.413661162936314 10.307253359368858 10.433675534 11.2658715298 13.7116387225 50870306975.29053 23995960278.424374
NGC4169 183.0 8.2 63.63235294117647 12.729842298370976 11.46189901625732 11.4128600807 11.9807062651 6.88420655031 161063670413.52692 68333514292.30098
NGC4213 247.0 28.0 107.33823529411765 12.63813361051114 11.418557376635693 11.7242566641 12.444721306 10.4432425573 267856981145.60574 117306949997.98839
NGC4261 294.0 29.0 30.202 11.038931523021343 9.800190422033255 9.07448201423 9.07448201423 135.585058313 493672101801.85266 213499750313.67517
NGC4281 250.7 9.7 24.434 11.44681342390342 10.254298883942553 10.5169823992 11.7178123907 5.77395656922 25497112762.869358 11366437304.421417
NGC4374 275.0 9.0 18.51 9.982428994410425 8.75841403798465 8.42377738379 9.28887607469 29.1275536844 147203162250.00418 64279557308.51543
NGC4406 231.0 12.0 16.827 10.86102093311508 9.730573218585551 7.73446058043 7.747074444 270.602169936 407075167895.4197 189015322677.9438
NGC4459 170.0 12.0 16.01 10.653449885200954 9.39544375979456 9.4083312114 9.40339594643 41.230013874 107043504440.19861 45711826329.61582
NGC4473 178.0 18.0 15.248 10.67442435188368 9.49581154225852 9.53318513752 10.1226885511 15.5637889767 41810365454.2201 18809589294.879482
NGC4494 148.0 8.0 17.061 10.432194990483215 9.292704880281928 9.149664028604125 9.186669919760014 44.77651139058793 113432827203.74525 52358123742.506874
NGC4555 349.9 29.0 106.63235294117646 12.23756224103861 11.027660235883399 11.4658092807 11.5165708424 17.7672208319 607999361175.4536 267966837918.3816
NGC4636 200.0 10.0 13.108 9.345627353941136 8.159445243208996 8.703148242565497 10.059993566037983 32.90800248943351 33301578381.640465 14907434729.665464
NGC4649 330.0 15.0 13.996 9.698337844063772 8.44351355886669 8.12605672632 9.76797388261 65.849985194 58052407547.84578 24842500899.418274
NGC4754 173.5 12.3 16.055 10.979312600672005 9.771715468941995 9.767579422843388 11.53434955637011 5.395739310118657 13488509806.310915 5953862345.738111
NGC4866 209.5 8.1 29.648 11.541065241438186 10.276310770250166 10.298452826996279 12.47855695137758 2.980554924884989 21945787898.557995 9330311714.1714
NGC4914 224.7 8.9 76.70588235294117 11.776253416241293 10.671888304601495 10.8515496252 11.4649407704 10.5442991233 259705212781.99747 122669504216.14851
NGC5129 275.0 10.0 110.69117647058823 12.695112037027311 11.519180847261861 11.6023928879 12.635097033 5.22763653152 216510725544.5708 97575104774.5609
NGC5198 187.0 10.0 45.029411764705884 12.295165811233657 11.104689005538829 11.193381703758437 11.232335555317263 18.275253225675716 134796302267.22684 60171673344.08051
NGC5311 nan nan 48.029411764705884 12.306758415496088 10.939246607724009 11.453532873 12.3010301321 6.37727564226 85625202818.30553 34029905885.06123
NGC5318 nan nan 72.01470588235294 13.065609038595534 11.687632138172289 11.8115714186 12.640482164 5.17656864796 144197178930.2369 56915865882.28069
NGC5353 284.0 14.0 42.5735294117647 11.2589858230586 10.03083390135137 10.338483331575583 12.644625331662407 2.6297789036970136 35740351626.0338 15564512523.631273
NGC5354 212.4 8.5 46.294117647058826 11.03150841734106 9.844704540742143 10.2045681927 11.4222930206 9.95386824921 118614076576.64357 53075870690.51722
NGC5363 199.0 15.0 22.58823529411765 10.45316817038152 9.236918245954723 9.253979480595326 10.033063765119117 15.857753714765817 108528868580.94232 47633670375.98947
NGC5444 221.0 22.0 66.70588235294117 12.211591139054864 10.983783436424915 10.738081576 11.3964687318 14.2423779108 276777868676.86487 120560812306.97885
NGC5490 303.0 29.0 77.161 12.464925446387982 11.197274878333408 11.3089139223 11.9572484097 6.69141293562 241842230969.3458 102624659366.88853
IC00947 153.0 29.0 74.70588235294117 12.548132162192601 11.311687981814698 12.1474140044 13.6560186516 1.65912541772 44177349515.62948 19134321410.106125
NGC2824 127.3 6.4 45.529411764705884 11.076427482833777 9.896163398821793 12.4033049179 14.3191727429 1.2972812007 7842871585.707122 3524518871.3684316
NGC2962 182.0 6.0 33.220588235294116 12.037789271663641 10.697311913412676 11.140919508047244 12.505477042965724 4.57030598416079 31914938884.837757 12910943185.436852
NGC3106 134.0 38.0 96.73529411764706 12.4149785932459 11.2146508558716 12.082248339 13.4150968602 2.99907483506 85202824129.73073 37788581082.06313
NGC3189 nan nan 24.25 11.079546699541217 9.7775543294754 10.1200454686 11.9630593845 2.5555093571 25683973703.411236 10656004399.279837
NGC3658 126.2 6.3 37.30882352941177 11.999392739762722 10.748996774926567 11.462477276089036 13.4973552882593 1.27569560322548 13161973712.875134 5648825631.678615
NGC4429 176.6 9.7 13.002 10.39684237545254 9.131992875820119 9.10638952307 10.3061297365 17.5296277426 31220883300.163605 13272816143.77012
NGC4461 140.7 9.6 12.023 11.883455818257255 10.618505014645406 10.392880778738803 11.750477648239162 4.596390865193853 7060105266.934553 3001236347.2687893
NGC4477 176.8 7.6 15.0 10.731394107271974 9.496182669155191 9.59656539982997 10.707714889389914 14.661404419001952 26839834212.334415 11634415482.173223
NGC4570 87.9 8.5 17.124 11.104269210121352 9.91561335111749 10.071853310781274 11.266531650107426 5.079380032277285 18811516134.744614 8407306482.031431
NGC4578 112.4 6.7 16.293 11.56789495439946 10.418934431947534 10.644298008901114 11.688846192192534 8.146271809598428 10548476817.554827 4838781414.34913
NGC4596 141.0 3.0 14.838235294117647 11.213441209493293 9.96168240830118 9.35895487133733 10.805937960832791 14.387003128382085 24909886109.46498 10681210734.921997
NGC4608 133.7 11.2 20.23 11.490990221009849 10.342107400259684 9.99831505672574 11.526440749470385 6.87131625426002 18882741343.35706 8662304383.573278
