name vdis vdis_err Dist mag_g mag_i total_mag sph_mag sph_Re Into_mass Taylor_mass
IC00724 229.0 17.0 96.11764705882354 12.680335038289627 11.414188435544554 11.887689599311484 14.054690209837625 1.5197578552579585 54185686676.80197 23016156378.85437
IC00959 nan nan 110.6470588235294 13.282713053550186 11.928329046810052 12.599340202570936 13.850420183558041 2.502980952321481 105871708503.87714 42440498814.59077
IC00983 nan nan 89.6029411764706 12.313966015387784 11.086162352377709 10.861464728 13.4886302019 3.57098939423 72707474247.11076 31670506877.186726
NGC2894 155.0 22.0 57.81 13.321765899723971 11.697951505140807 11.533870793946363 12.389446926220486 4.943257443560874 204495778420.15 68690589654.8863
NGC2968 199.0 12.0 28.63235294117647 12.62721748968345 10.876315628354439 10.546960978 12.3351162881 5.86280371915 70356770408.84416 21741968656.25612
NGC3169 188.6 8.7 16.444 11.381166365548218 9.880736833706846 9.272563016061977 11.128490316934542 5.820087963267344 39952310320.720474 14551892632.42385
NGC3221 nan nan 66.76470588235294 12.846911391249504 11.539551607387784 11.6341396957 14.6378548408 2.23693378227 16776498837.211441 6935915486.872886
NGC3270 nan nan 80.91 12.845848119687762 11.548557339735355 12.3220497466 13.9412774284 2.36115181249 45743021628.805595 19036932804.18772
NGC3368 115.0 17.0 11.695 9.78682325063162 8.515463520980568 8.441858684993534 10.8587594897854 6.605124236677349 15409409270.499184 6523016350.675712
NGC3583 131.7 10.1 38.294117647058826 11.87636382090637 10.731066742748734 10.905673681689818 13.850674924452845 1.8442607969134843 7890631948.659592 3628291065.0193014
NGC3646 153.1 7.4 54.954 12.021849084537823 10.802414333319078 11.0696674448 13.7229064273 2.52639164675 21626153330.486073 9471971305.782948
NGC3675 108.0 4.0 18.967 10.627707235605586 9.319948645097528 9.27413724564 12.4980632658 3.40110669528 9725550510.270662 4019786575.0331297
NGC3718 158.1 9.6 21.16176470588235 11.630295889303516 9.989152055302567 9.68745426506 13.2579920221 3.22570579962 12806593662.511353 4253120010.7484617
NGC3968 nan nan 102.3970588235294 12.150207476763164 10.962119943862136 11.492223088773867 14.089589991380793 2.063617049359834 49889044741.32328 22304897992.695084
NGC3976 189.5 8.7 35.156 12.191320470896997 10.950555655184765 8.63442787697 12.3860060397 3.63601961542 31823638994.486286 13744592446.879438
NGC4045 nan nan 32.659 12.073750679784016 10.787395206073167 10.994174792674634 13.901859896227535 1.6168565942706468 7539142438.880998 3160171402.058916
NGC4065 260.0 33.0 101.29411764705883 12.638471786325404 11.436018549382101 12.1081031695 13.4817602186 3.48753439301 88283756131.28877 39100438679.169426
NGC4321 92.0 4.0 14.921 10.34253292370899 9.368134719425393 8.61117571769 14.8821486752 0.930963290996 314426123.84603715 161739141.53103015
NGC4334 nan nan 70.88235294117646 12.665698036775197 11.479413920269971 11.990506434932286 14.00321138801694 1.8316968272958216 25779919127.10953 11539595280.693554
NGC4378 192.0 8.0 49.204 11.961587006718906 10.706943920614549 10.6752491531 11.8025084739 6.91199525322 110108505980.85626 47124590612.640564
NGC4527 135.3 7.9 13.397 11.170530717110479 9.527982110005343 9.65447282318 12.095452433 4.05291946134 15022579795.707277 4984460589.41667
NGC4536 109.0 16.5 14.655 11.181156207791169 9.688005443718472 9.89133710248 12.6491969705 2.65347593495 7692125476.159481 2815129593.231807
